edo_nom,mpo_nom,pob_tot,pob_acumulada,pob_tot_nal,por_pob_acumulada,mpo_incluido
Ciudad de México,Iztapalapa,1827868,1827868,119530753,1.5292,Sí
México,Ecatepec de Morelos,1677678,3505546,119530753,2.93276,Sí
Baja California,Tijuana,1641570,5147116,119530753,4.3061,Sí
Guanajuato,León,1578626,6725742,119530753,5.62679,Sí
Puebla,Puebla,1576259,8302001,119530753,6.94549,Sí
Jalisco,Guadalajara,1460148,9762149,119530753,8.16706,Sí
Chihuahua,Juárez,1391180,11153329,119530753,9.33093,Sí
Jalisco,Zapopan,1332272,12485601,119530753,10.44551,Sí
Ciudad de México,Gustavo A. Madero,1164477,13650078,119530753,11.41972,Sí
Nuevo León,Monterrey,1109171,14759249,119530753,12.34766,Sí
México,Nezahualcóyotl,1039867,15799116,119530753,13.21762,Sí
Baja California,Mexicali,988417,16787533,119530753,14.04453,Sí
Sinaloa,Culiacán,905265,17692798,119530753,14.80188,Sí
Yucatán,Mérida,892363,18585161,119530753,15.54843,Sí
Sonora,Hermosillo,884273,19469434,119530753,16.28822,Sí
Querétaro,Querétaro,878931,20348365,119530753,17.02354,Sí
Chihuahua,Chihuahua,878062,21226427,119530753,17.75813,Sí
Aguascalientes,Aguascalientes,877190,22103617,119530753,18.49199,Sí
México,Toluca,873536,22977153,119530753,19.2228,Sí
México,Naucalpan de Juárez,844219,23821372,119530753,19.92907,Sí
San Luis Potosí,San Luis Potosí,824229,24645601,119530753,20.61863,Sí
Guerrero,Acapulco de Juárez,810669,25456270,119530753,21.29684,Sí
Coahuila,Saltillo,807537,26263807,119530753,21.97243,Sí
Michoacán,Morelia,784776,27048583,119530753,22.62897,Sí
Ciudad de México,Álvaro Obregón,749982,27798565,119530753,23.25641,Sí
Quintana Roo,Benito Juárez,743626,28542191,119530753,23.87853,Sí
México,Tlalnepantla de Baz,700734,29242925,119530753,24.46477,Sí
Tabasco,Centro,684847,29927772,119530753,25.03772,Sí
Nuevo León,Guadalupe,682880,30610652,119530753,25.60902,Sí
México,Chimalhuacán,679811,31290463,119530753,26.17775,Sí
Coahuila,Torreón,679288,31969751,119530753,26.74605,Sí
Ciudad de México,Tlalpan,677104,32646855,119530753,27.31252,Sí
Jalisco,San Pedro Tlaquepaque,664193,33311048,119530753,27.86818,Sí
Durango,Durango,654876,33965924,119530753,28.41605,Sí
Tamaulipas,Reynosa,646202,34612126,119530753,28.95667,Sí
Veracruz,Veracruz,609964,35222090,119530753,29.46697,Sí
Ciudad de México,Coyoacán,608479,35830569,119530753,29.97603,Sí
Chiapas,Tuxtla Gutiérrez,598710,36429279,119530753,30.47691,Sí
Nuevo León,Apodaca,597207,37026486,119530753,30.97654,Sí
Guanajuato,Irapuato,574344,37600830,119530753,31.45703,Sí
Jalisco,Tlajomulco de Zúñiga,549442,38150272,119530753,31.9167,Sí
Jalisco,Tonalá,536111,38686383,119530753,32.36521,Sí
Ciudad de México,Cuauhtémoc,532553,39218936,119530753,32.81075,Sí
México,Cuautitlán Izcalli,531041,39749977,119530753,33.25502,Sí
México,Atizapán de Zaragoza,523296,40273273,119530753,33.69281,Sí
México,Tultitlán,520557,40793830,119530753,34.12831,Sí
Tamaulipas,Matamoros,520367,41314197,119530753,34.56365,Sí
Sinaloa,Mazatlán,502547,41816744,119530753,34.98409,Sí
México,Ixtapaluca,495563,42312307,119530753,35.39868,Sí
Guanajuato,Celaya,494304,42806611,119530753,35.81222,Sí
Baja California,Ensenada,486639,43293250,119530753,36.21934,Sí
Veracruz,Xalapa,480841,43774091,119530753,36.62161,Sí
Sinaloa,Ahome,449215,44223306,119530753,36.99743,Sí
México,Tecámac,446008,44669314,119530753,37.37056,Sí
Sonora,Cajeme,433050,45102364,119530753,37.73285,Sí
Nuevo León,San Nicolás de los Garza,430143,45532507,119530753,38.09271,Sí
Ciudad de México,Venustiano Carranza,427263,45959770,119530753,38.45016,Sí
Nuevo León,General Escobedo,425148,46384918,119530753,38.80584,Sí
Ciudad de México,Benito Juárez,417416,46802334,119530753,39.15506,Sí
Ciudad de México,Xochimilco,415933,47218267,119530753,39.50303,Sí
Nayarit,Tepic,413608,47631875,119530753,39.84905,Sí
México,Nicolás Romero,410118,48041993,119530753,40.19216,Sí
Ciudad de México,Azcapotzalco,400161,48442154,119530753,40.52694,Sí
Tamaulipas,Nuevo Laredo,399431,48841585,119530753,40.8611,Sí
México,Valle de Chalco Solidaridad,396157,49237742,119530753,41.19253,Sí
Ciudad de México,Iztacalco,390348,49628090,119530753,41.5191,Sí
Morelos,Cuernavaca,366321,49994411,119530753,41.82556,Sí
Ciudad de México,Miguel Hidalgo,364439,50358850,119530753,42.13045,Sí
Ciudad de México,Tláhuac,361593,50720443,119530753,42.43297,Sí
Chiapas,Tapachula,348156,51068599,119530753,42.72423,Sí
Tamaulipas,Victoria,346029,51414628,119530753,43.01372,Sí
México,Chalco,343701,51758329,119530753,43.30127,Sí
Durango,Gómez Palacio,342286,52100615,119530753,43.58762,Sí
Michoacán,Uruapan,334749,52435364,119530753,43.86768,Sí
Nuevo León,Juárez,333481,52768845,119530753,44.14667,Sí
Puebla,Tehuacán,319375,53088220,119530753,44.41386,Sí
Veracruz,Coatzacoalcos,319187,53407407,119530753,44.68089,Sí
Tamaulipas,Tampico,314418,53721825,119530753,44.94394,Sí
San Luis Potosí,Soledad de Graciano Sánchez,309342,54031167,119530753,45.20273,Sí
Nuevo León,Santa Catarina,296954,54328121,119530753,45.45117,Sí
Sinaloa,Guasave,295353,54623474,119530753,45.69826,Sí
México,La Paz,293725,54917199,119530753,45.94399,Sí
Baja California Sur,Los Cabos,287671,55204870,119530753,46.18466,Sí
México,Coacalco de Berriozábal,284462,55489332,119530753,46.42264,Sí
Campeche,Campeche,283025,55772357,119530753,46.65942,Sí
Hidalgo,Pachuca de Soto,277375,56049732,119530753,46.89147,Sí
Jalisco,Puerto Vallarta,275640,56325372,119530753,47.12208,Sí
Guanajuato,Salamanca,273271,56598643,119530753,47.3507,Sí
