edo_nom,mpo_nom,pob_tot,mpo_incluido
Yucatán,Tekax,42440,Sí
Veracruz,Camerino Z. Mendoza,42347,Sí
Veracruz,Río Blanco,41927,Sí
Chiapas,Tuxtla Chico,41823,Sí
Veracruz,Jáltipan,41644,Sí
México,Tezoyuca,41333,Sí
Chiapas,Tecpatán,41305,Sí
Chiapas,Zinacantán,41112,Sí
Puebla,Coronango,40949,Sí
Yucatán,Ticul,40161,Sí
Chiapas,Arriaga,40114,Sí
Campeche,Hopelchén,40100,Sí
Oaxaca,San Miguel Soyaltepec,39680,Sí
Chiapas,Chenalhó,39648,Sí
Veracruz,Playa Vicente,39205,Sí
Chiapas,San Fernando,39204,Sí
Chiapas,Jiquipilas,39109,Sí
Guerrero,Coyuca de Catalán,39002,Sí
Veracruz,Juan Rodríguez Clara,38895,Sí
Chiapas,Suchiate,38797,Sí
México,Temascalapa,38622,Sí
Tabasco,Jalapa,38231,Sí
Veracruz,Xico,38198,Sí
Veracruz,Nogales,37908,Sí
Veracruz,Tlalixcoyan,37857,Sí
Chiapas,Yajalón,37833,Sí
Quintana Roo,José María Morelos,37502,Sí
Guerrero,Pungarabato,37494,Sí
Veracruz,Mariano Escobedo,37285,Sí
Guerrero,Huitzuco de los Figueroa,37094,Sí
Yucatán,Chemax,36881,Sí
Oaxaca,Santiago Juxtlahuaca,36275,Sí
Yucatán,Motul,36097,Sí
Veracruz,Tempoal,35823,Sí
México,Otumba,35274,Sí
Chiapas,Siltepec,35192,Sí
Veracruz,Soteapan,35155,Sí
Chiapas,Huehuetán,35017,Sí
Chiapas,Bochil,34997,Sí
Chiapas,San Juan Cancuc,34829,Sí
Chiapas,Chicomuselo,34744,Sí
Chiapas,Tumbalá,34305,Sí
Oaxaca,Santa María Atzompa,34115,Sí
Veracruz,San Juan Evangelista,33929,Sí
Veracruz,Angel R. Cabada,33730,Sí
Veracruz,Paso de Ovejas,33392,Sí
Chiapas,Altamirano,32872,Sí
Veracruz,Sayula de Alemán,32721,Sí
Oaxaca,Putla Villa de Guerrero,32640,Sí
Yucatán,Hunucmá,32475,Sí
Chiapas,Pueblo Nuevo Solistahuacán,31942,Sí
Veracruz,Paso del Macho,31890,Sí
Chiapas,Escuintla,31822,Sí
Chiapas,Tuzantán,31755,Sí
Chiapas,Acala,31424,Sí
Campeche,Hecelchakán,31230,Sí
Yucatán,Oxkutzcab,31202,Sí
Chiapas,Pichucalco,31107,Sí
Chiapas,Amatenango de la Frontera,30732,Sí
México,Tepetlaoxtoc,30680,Sí
Tabasco,Emiliano Zapata,30637,Sí
Veracruz,Ursulo Galván,30580,Sí
Tabasco,Jonuta,30567,Sí
Veracruz,Nanchital de Lázaro Cárdenas del Río,30039,Sí
Veracruz,San Rafael,29631,Sí
Veracruz,Uxpanapa,29434,Sí
Veracruz,Jesús Carranza,29413,Sí
Oaxaca,San Juan Guichicovi,29364,Sí
Chiapas,Mazatán,29239,Sí
México,Chiautla,29159,Sí
Chiapas,Villa Comaltitlán,28961,Sí
Veracruz,Alto Lucero de Gutiérrez Barrios,28922,Sí
Campeche,Calakmul,28424,Sí
Chiapas,Acapetahua,28380,Sí
Veracruz,Naranjos Amatlán,28295,Sí
Chiapas,Las Rosas,28261,Sí
Chiapas,Angel Albino Corzo,28162,Sí
Oaxaca,San Felipe Jalapa de Díaz,27979,Sí
Veracruz,Cuitláhuac,27940,Sí
Veracruz,Soledad de Doblado,27770,Sí
México,Axapusco,27709,Sí
Veracruz,Espinal,27297,Sí
Quintana Roo,Lázaro Cárdenas,27243,Sí
Chiapas,Ixtapa,27198,Sí
México,San Martín de las Pirámides,26960,Sí
Chiapas,Sabanilla,26921,Sí
Veracruz,La Antigua,26920,Sí
Veracruz,Cerro Azul,26807,Sí
Yucatán,Izamal,26801,Sí
Veracruz,Ayahualulco,26694,Sí
México,Chiconcuac,25543,Sí
Yucatán,Peto,25264,Sí
